gnome-video-effects 0.4.3-1
gnu-netcat 0.7.1-6
gnupg 2.2.0-1
gnuplot 5.2.0-1
gnutls 3.5.15-1
gobject-introspection 1.52.1-1
gobject-introspection-runtime 1.52.1-1
google-glog 0.3.5-1
gparted 0.29.0-2
gperf 3.1-1
gpgme 1.9.0-3
gpm 1.20.7-8
gptfdisk 1.0.3-1
gradle 4.1-1
gradle-doc 4.1-1
gradle-src 4.1-1
graphene 1.6.0-1
graphicsmagick 1.3.26-3
graphite 1:1.3.10-1
graphviz 2.40.1-9
grep 3.1-1
grilo 0.3.3+3+g3104a34-1
groff 1.22.3-7
grub 2:2.02-1
gsettings-desktop-schemas 3.24.0-1
gsfonts 20170727-1
gsl 2.4-1
gsm 1.0.17-1
gspell 1.4.1-1
gst-libav 1.12.2-1
gst-plugins-bad 1.12.2-4
gst-plugins-base 1.12.2-1
gst-plugins-base-libs 1.12.2-1
gst-plugins-good 1.12.2-1
gst-plugins-ugly 1.12.2-1
gstreamer 1.12.2-1
gthumb 3.4.5+1+geec2172e-3
gtk-chtheme 0.3.1-8
gtk-engines 2.21.0-3
gtk-update-icon-cache 3.22.20-1
gtk2 2.24.31-1
gtk3 3.22.20-1
gtk3-print-backends 3.22.20-1
gtkglext 1.2.0-10
gtkmm 2.24.5-2
gtkmm3 3.22.1-1
gtksourceview3 3.24.3-1
gtkspell 2.0.16-5
gtkspell3 3.0.9-1
gts 0.7.6-3
guile 2.2.2-1
guile2.0 2.0.14-1
gutenprint 5.2.13-1
gvfs 1.32.1+8+ga33a8437-1
gvfs-goa 1.32.1+8+ga33a8437-1
gvfs-google 1.32.1+8+ga33a8437-1
gvim 8.0.1092-1
gzip 1.8-2
harfbuzz 1.5.1-1
harfbuzz-icu 1.5.1-1
hdf5 1.10.1-1
hicolor-icon-theme 0.15-1
hplip 3.17.7-1
hspell 1.3-1
htop 2.0.2-2
http-parser 2.7.1-1
hunspell 1.6.2-1
hunspell-de 20161207-1
hunspell-en 2017.01.22-2
hunspell-en_GB 2017.01.22-2
hunspell-en_US 2017.01.22-2
